Rank,Name,Score
338,WUHUQIFEI,'3.7023
339,随便搞搞,'3.7025
340,Xiangleilei_,'3.7049
341,hw44342721,'3.706
342,hw00636709,'3.7156
343,hw31413021,'3.7159
344,hw58241489,'3.7203
345,hw41098441,'3.7326
346,HDXXX,'3.764
347,江湖险恶,'3.7682
348,WRJYDS999,'3.8219
349,lololo,'3.8366
350,hw60460127,'3.8748
351,senhony,'3.8823
352,瑟瑟发抖,'3.8972
353,张小小恩,'3.9018
354,hw75507949,'3.9077
355,花生米,'3.95
356,Williss,'3.9647
357,nia1026,'3.9813
358,hw13357095,'3.995
359,zjky,'4.0005
360,hw41855014,'4.0128
361,hw30711631,'4.0151
362,对不队2.0,'4.0247
363,hw08463549,'4.0889
364,hw66859095,'4.0993
365,zhang_sai_zs,'4.1
366,hw61643045,'4.1076
367,3味debugger,'4.1093
368,StarFading,'4.1159
369,hw66859095,'4.1309
370,7777777,'4.147
371,听说改名HW就能中奖,'4.1641
372,hw66859095,'4.1853
373,hw66859095,'4.1967
374,hw66859095,'4.2162
375,hw66859095,'4.233
376,hw55849069,'4.2916
377,hw38866491,'4.3079
378,随便写个名字,'4.3173
379,hw45648249,'4.3781
380,hw42260600,'4.3991
381,hw74356552,'4.4018
382,你的月亮我的心,'4.4185
383,我也没想法,'4.458
384,aweijx,'4.4866
385,hw96234002,'4.4892
386,星辰,'4.5649
387,sp,'4.6148
388,hw85500118,'4.6257
389,对不队,'4.6719
390,桃子树上挠你头,'4.6788
391,HITCRT,'4.6835
392,caoshang311,'4.688
393,Smart_East,'4.714
394,老周很强,'4.7242
395,guofyun,'4.7286
396,CCWUCMCTS,'4.7435
397,242432424,'4.7537
398,聪聪忙忙,'4.7714
399,你叉叉,'4.7796
400,灶门炭治郎,'4.7865
401,真的是dfs吗,'4.8234
402,尔尔,'4.8443
403,haoduodalao,'4.8486
404,hw45405501,'4.8995
405,hahahdsad,'4.9085
406,test_8262_123,'4.9106
407,xlq57913,'4.9242
408,hw28234889,'4.9283
409, VivaLaVida,'4.9347
410,温柔一刀,'4.9542
411,smalkang,'4.9814
412,WH_Fly,'4.9839
413,hw87824027,'4.9874
414,donghhh,'4.9897
415,test_8803_3,'5.0117
416,hw48023222,'5.0248
417,难顶,'5.0315
418,吃葡萄不吐葡萄皮,'5.0616
419,12313456,'5.0756
420,hw13230034,'5.0776
421,Little_squirrel_writing_code,'5.1076
422,WaminLee,'5.1084
423,hw93352096,'5.112
424,water0627,'5.1547
425,星尘远征军,'5.1599
426,Jake5626,'5.1738
427,hw98481925,'5.2002
428,LIUQQQQQ,'5.2134
429,aaaa,'5.2237
430,hw61286547,'5.2299
431,hw10050129,'5.2308
432,Human Learning,'5.2597
433,hw38429385,'5.2692
434,终于有分了,'5.2888
435,今晚打老虎,'5.3058
436,hw79954575,'5.3797
437,hw18274874,'5.3835
438,hw62569687,'5.4026
439,发量惊人,'5.4176
440,lastxuanshen,'5.4395
441,tamlovincy,'5.446
442,hw64347847,'5.4554
443,给大佬们献上一杯卡布奇诺,'5.5311
444,铁索连环,'5.5339
445,God Sheep,'5.5737
446,cranky_xq,'5.6036
447,小松鼠来敲代码呀,'5.6064
448,除了BF啥也不会,'5.6387
449,hw74125675,'5.67
450,JAVAer不配拥有姓名吗,'5.7088
451,hw98474289,'5.719
452,终于等到你,'5.7518
453,hw88134288,'5.7569
454,TzT_tztztz,'5.769
455,青大附小,'5.8001
456,伏地魔,'5.8176
457,zzz,'5.818
458,薇鹅莉特,'5.8269
459,菜鸡,'5.8626
460,A_Z_T_,'5.8961
461,HangDianWaterest,'5.9618
462,请输入新的团队名称,'5.9644
463,hw83101316,'5.9799
464,hnzsdd,'6.0632
465,hw10156247,'6.0801
466,刚学冒泡排序,'6.0808
467,愤怒的Python,'6.0899
468,hw75507949,'6.1395
469,零陵上将邢道荣,'6.1586
470,LiberBin,'6.1803
471,垃圾C++,'6.21
472,长方体混凝土移动工程局,'6.2461
473,我尽力,'6.2536
474,hw39237971,'6.2626
475,小问号你是否有很多朋友,'6.2896
476,yczlab,'6.2945
477,jx9527,'6.302
478,鲲之大一锅炖不下,'6.3204
479,大白菜,'6.3323
480,chegnice,'6.3487
481,hw83190026,'6.3676
482,XLY,'6.3755
483,yhchen,'6.4191
484,hw44420059,'6.4872
485,哈哈哈,'6.498
486,划水1号,'6.5016
487,324324234234,'6.5165
488,RADIO,'6.5311
489,美丽北大荒,'6.539
490,lonelyming,'6.5405
491,秀头也有美男子,'6.5637
492,关山口小分队,'6.6065
493,塞外鱼米乡,'6.607
494,没有加入/申请团队,'6.6137
495,Torque2,'6.6178
496,树上的鸟儿成双队,'6.6249
497,hw53460816,'6.6796
498,大哥酱油,'6.6964
499,三人行,'6.7066
500,Nanase_,'6.7393
501,秃头也有美男子,'6.7414
502,卡妹今天不出发,'6.7888
503,blindhakoton,'6.8125
504,hw81481076,'6.8233
505,HFZhang,'6.836
506,hw17736998,'6.8394
507,COOO,'6.8553
508,hw56900781,'6.8653
509,酱油一波,'6.8819
510,hw91346810,'6.9008
511,我也是小号,'6.9123
512,华为手机是我们的！吗,'6.9148
513,没有人比我更懂药水哥,'6.929
514,工作细胞,'6.9481
515,天天向上,'6.971
516,407,'7.0575
517,hw56315619,'7.1228
518,xingmou,'7.1457
519,hw66859095,'7.1616
520,小朋友你是否有很多问号,'7.1769
521,咸鱼池的咸鱼,'7.199
522,r3o7b2,'7.2734
523,玩胖次,'7.3215
524,guanph001,'7.3306
525,也不是不行,'7.3307
526,hw68932494,'7.3372
527,hw71074398,'7.3391
528,奥里给干就完事了,'7.382
529,hw34003729,'7.3953
530,中华民族不畏新冠,'7.4131
531,YaoYee,'7.4381
532,void,'7.4489
533,hw66859095,'7.4634
534,药水哥队,'7.477
535,hw95973867,'7.4861
536,CQUPT_sql,'7.4922
537,甄甄,'7.5363
538,hw53303574,'7.5368
539,zhh没有女朋友,'7.5427
540,万物皆虚,'7.5888
541,hw26738956,'7.5939
542,BugAngel,'7.6042
543,DQ9999,'7.6152
544,WW,'7.6191
545,干死黄旭东,'7.6245
546,hw34935364,'7.6348
547,yang_jx,'7.6366
548,Terry_1iu,'7.7656
549,hw96116808,'7.7936
550,bostonfcb,'7.8183
551,Csn1889,'7.8184
552,疯狂划水,'7.8317
553,hw0001,'7.8496
554,二营长，把你他娘的意大利泡面拿出来,'7.8497
555,wyh2dxh,'7.8676
556,flagOY,'7.917
557,hw77737813,'7.9575
558,hw55222053,'7.9593
559,pobin,'7.9782
560,twp584,'7.9785
561,武理取闹两憨批,'7.9855
562,良伟红色裤衩粉丝团,'7.9881
563,一个大大大大大橙子,'7.9951
564,hw35901409,'8.0156
565,Hanmt_,'8.0161
566,咱也没想到这么难,'8.0358
567,神厨小福贵,'8.0546
568,miziha,'8.1144
569,11号公寓的男孩们,'8.2066
570,Ico945,'8.2409
571,xbb0720,'8.2645
572,可可爱爱小熊仔,'8.2968
573,七层套娃来找环,'8.3052
574,hw48664467,'8.3384
575,hw81711833,'8.3879
576,CPPPPPP,'8.4348
577,大学城南荔枝湾队,'8.446
578,蜜桃猫,'8.4538
579,xkyeys,'8.4639
580,hw62155226,'8.4927
581,舔包我最行97,'8.6327
582,匿名,'8.6628
583,cwq,'8.7284
584,春田花花幼稚园,'8.7432
585,hw58790633,'8.8126
586,iammai,'8.8857
587,西北史努比,'8.9217
588,hw78446253,'8.9522
589,hw68597056,'9.0146
590,仙工大,'9.0597
591,谁TM写Python,'9.0705
592,逐鹿中原,'9.0744
593,jyhx0903,'9.0868
594,hw89873432,'9.0881
595,hw75076535,'9.1392
596,jksoap,'9.1569
597,xidian_zhs,'9.163
598,blessdly,'9.1845
599,hty_xjtu,'9.1996
600,hw20785000,'9.2097
601,狭路相逢勇者胜,'9.2124
602,hw12400457,'9.2366
603,你一定要喊吗？？？,'9.2836
604,ustc225-1,'9.2926
605,hw09461151,'9.3192
606,hw58208901,'9.3224
607,YZMSN_WLL,'9.3259
608,Yumisweet,'9.3264
609,长迁,'9.3291
610,hw31203258,'9.3448
611,aqwzuishuai,'9.3787
612,曹贼休走,'9.395
613,蓬松的头发,'9.4409
614,秧歌star,'9.4515
615,hopegrace,'9.4726
616,hw82503089,'9.4747
617,hw53551693,'9.4773
618,勇往直前,'9.4853
619,zhenxiang,'9.492
620,hw89231531,'9.5426
621,archlinux,'9.5573
622,hw19262386,'9.564
623,fivefiveopen,'9.5774
624,NEU_XinYi,'9.6003
625,JNJYan,'9.6258
626,cabbage,'9.6323
627,hw14571351,'9.6402
628,wealynnode,'9.6501
629,Funny_mud_pee,'9.6699
630,NOBUG,'9.7558
631,yseyes,'9.7989
632,背身单打大师,'9.8287
633,这波是肉蛋葱鸡,'9.8441
634,hw53798710,'9.8558
635,菜比联盟冲鸭,'9.8748
636,没想好叫啥的咸鱼,'9.8769
637,2233在哪里,'9.8987
638,hw68792974,'9.9579
639,hw73747696,'9.9777
640,yrr123456,'9.9796
641,hw46412873,'10.0943
642,hw61107423,'10.1138
643,messi-10,'10.1756
644,hw28896443,'10.1758
645,任我行,'10.2341
646,艺洋千禧,'10.2675
647,改名字,'10.3196
648,hw05833427,'10.3682
649,hw18390437,'10.3735
650,hw38771961,'10.4009
651,其实我在第五层,'10.4906
652,RUSH_200K,'10.5029
653,baozhixue,'10.5091
654,sssssssssss,'10.5093
655,hw89340202,'10.5114
656,痒痒猫,'10.5179
657,弱鸡想苟,'10.5649
658,hw18383371,'10.6089
659,第54个质数,'10.6306
660,touchdreamer,'10.6977
661,你好,'10.7117
662,Stanch-Lx,'10.7234
663,hw04944232,'10.7675
664,Risingstar_GUET,'10.8488
665,hw78220677,'10.9599
666,开水烫白菜,'10.9789
667,CQUPT_CAI,'11.1543
668,xiao-ge_,'11.1681
669,hw15114726,'11.1708
670,行行行,'11.1809
671,limzero,'11.2389
672,蓬松的头发队,'11.2532
673,XX_WANGHAN_XX,'11.3045
674,onesmart_m,'11.3369
675,清蒸哈什蚂,'11.3806
676,hw02411102,'11.6022
677,沃克比欧文更好,'11.6232
678,DSL_NB,'11.7149
679,cypcyp,'11.8868
680,风起云涌,'11.8887
681,三人行,'11.8999
682,hw55841801,'11.9089
683,元宝暴暴,'11.9566
684,西佳佳,'11.9574
685,古道西风瘦马,'11.9692
686,我爱这个,'12.0444
687,cai虚坤的菜,'12.0664
688,磊子的小弟们,'12.3286
689,小号冲,'12.4397
690,别浪,'12.5066
691,小谷围一姐,'12.6641
692,Instant Search,'12.8079
693,HeadSteel,'12.8769
694,tx_clarklin,'13.0385
695,玄学调优中,'13.0817
696,Sukri,'13.1635
697,Zjxuuu,'13.2163
698,球球给我个SSSSP吧,'13.2712
699,Zhiyuan_Ren,'13.3197
700,sunxiangjun,'13.3546
701,no bug,no error,'13.4528
702,hw68751712,'13.4623
703,hw39070211,'13.4648
704,IooooooI,'13.6089
705,ANT,'13.6323
706,剪刀刺客,'13.6642
707,566菜鸡,'13.6849
708,yling,'13.7742
709,hw63809112,'13.8876
710,EGM_EGMEGM,'13.9502
711,hw39830293,'14.0361
712,Error99,'14.073
713,xing xing xing3,'14.1334
714,hehehehahaha,'14.3999
715,hw84551653,'14.4029
716,risingstar,'14.4196
717,hw65146408,'14.5677
718,fly,'14.7204
719,Zero_eclipse,'14.7916
720,hw17163246,'14.8067
721,EAGHINee,'14.9507
722,canranboy,'15.0463
723,难搞,'15.1186
724,cqq2020,'15.3006
725,hw43989645,'15.4753
726,怼字念队,'15.5152
727,工中三兄弟,'15.6228
728,裂开225,'15.792
729,hw99325344,'15.8278
730,成电少帮主,'15.8687
731,信用卡诈骗小组,'15.942
732,天天打卡,'16.0849
733,hw62358439,'16.1551
734,hw17437987,'16.451
735,Poemanfurture,'16.5418
736,fearless,'16.586
737,Eric_Young,'16.7361
738,大赛截止时间,'16.9042
739,hw84417100,'16.954
740,求求成功一次,'17.1186
741,来划水的小白,'17.1291
742,我拿buff，谢谢！,'17.5643
743,强哥郭老np,'17.5881
744,Hm ,'17.8547
745,Gai-Lun,'17.862
746,ICY2INVINCIBLE,'18.2197
747,roeexu,'18.342
748,大三养老队,'18.6559
749,运气比较好,'18.8902
750,hw54203167,'19.3072
751,波涛汹涌,'19.3382
752,hw00821684,'20.2277
753,小猫咪你为什么总是脱毛,'20.3263
754,hw11347545,'20.6338
755,zhangfeiyang,'20.7939
756,hw84049800,'20.9961
757,爆肝打代码,'21.0712
758,cuber,'21.1984
759,Jiiang_Xin,'21.2589
760,氯化氢,'21.4901
