Rank,Stage,Name,Score,UserList
117,复活赛区,"波涛汹涌",`25.248,yzlzjfc; HoggerOvO; hw90998086; 
118,复活赛区,"让我先跑39米",`25.609,xin_kevin; yl-precious; cq_song; 
119,复活赛区,"DQ9999",`26.0956,DQ9999; 
120,复活赛区,"酱油",`28.2567,nwu_zhanghao; baoyi84930; moon_on; 
121,复活赛区,"code417",`32.7673,changque; hw_xty; 
122,复活赛区,"武长小组",`33.3138,hw40711017; baozhixue; 
123,杭厦赛区,"下次一定",`33.7601,hw51215035; 
124,上合赛区,"宁宁厨",`35.6274,hw11212679; 
125,复活赛区,"hw87943025",`39.5438,hw87943025; 
126,粤港澳赛区,"佛系炮灰",`43.3225,Shacoo; risingstar_zr; tyx123456789; 
127,复活赛区,"自由之翼",`49.9057,liznsalt; 
128,上合赛区,"lyf",`64.5544,lcc12345; hw31498329; 
129,复活赛区,"龙卷风筝",`65.6648,hw83457767; aptx_4869; 
130,江山赛区,"One Piece",`80.7337,portgas-d-asce; DoO916; AAlkaid; 
131,复活赛区,"Novice",`97.103,Novice_wu; 
132,上合赛区,"michaelquick",`101.033,michaelquick; 
133,复活赛区,"冲",`153.8796,Farmer_fd; hw39070211; hw91811502; 
134,复活赛区,"关灯吃面",`166.9848,minghb; hw09214471; 
135,粤港澳赛区,"tx_clarklin",`178.9837,clarklin_; 
136,复活赛区,"做什么都队",`243.0037,NNever; hw91727781; 
137,上合赛区,"我想静静",`317.4752,yizhe; zhangtanglei1994; yead96; 
138,京津东赛区,"花样划水",`471.0013,Zino-_-b; hw94871809; hw30398852; 
139,复活赛区,"五山禅院",`471.0076,lfz__5; yeungchenwa; SetoWen; 
140,西北赛区,"fortune",`830.8046,blessings_lin; hw_cxx; liuling77; 
141,复活赛区,"hw17351180",`837.8862,hw17351180; 
142,复活赛区,"叹一句当时只道是寻常",`838.3125,sculta; 
143,复活赛区,"zjky",`841.3889,ysh1995; 
144,复活赛区,"好聚好散",`848.6061,hw65499333; ICLABHDU; hw63794692; 
145,上合赛区,"滴滴滴",`861.6757,hbfczp; hzatt0429; MDS110; 
146,上合赛区,"SRC",`872.8633,qin_zhengwei; Williss; xlq57913; 
147,复活赛区,"略略略！605",`917.1559,Aris-zzzz; yxj1996; hw01706253; 
